No,ID Transaksi,Tgl Operasional,Waktu Masuk,Waktu Selesai,Ruangan,Durasi (Menit),Tarif Room/Jam,Biaya Room (Rp),Biaya F&B Riil (Rp),Biaya LC (Rp),Diskon Promo (Rp),Grand Total (Rp),Metode Bayar,Status Bayar,Kasir,ID Order F&B,Catatan Audit
34,TRX-20260808225411828-DF14E4F6,2026-08-08,2026-08-08 21:09:25,2026-08-08 22:54:07,Ruangan 9 - EXECUTIVE ,120,185000,750000,285000,500000,250000,1535000,TRANSFER,PAID,Admin 1,FNB-20260808-212018-96,
35,TRX-20260808045158499-78A6A717,2026-08-07,2026-08-08 01:09:49,2026-08-08 04:51:51,Ruangan 2 - VIP 2,240,135000,540000,266000,1000000,0,1806000,TRANSFER,PAID,Admin 1,FNB-20260808-015007-902,
36,TRX-20260808041703144-C4E06CD2,2026-08-07,2026-08-08 01:37:18,2026-08-08 04:16:55,Ruangan 6 - VIP 6,180,135000,405000,263000,1000000,0,1668000,TRANSFER,PAID,Admin 1,"FNB-20260808-014150-318,FNB-20260808-023536-556,FNB-20260808-033518-804,FNB-20260808-040202-463",
37,TRX-20260808040428961-CAB43CDB,2026-08-07,2026-08-08 01:18:34,2026-08-08 04:04:24,Ruangan 4 - VIP 4,180,135000,450000,565000,750000,0,1765000,TRANSFER,PAID,Admin 1,"FNB-20260808-013157-165,FNB-20260808-013902-850,FNB-20260808-034200-384",
38,TRX-20260808035129869-8859B335,2026-08-07,2026-08-08 00:02:17,2026-08-08 03:51:25,Ruangan 3 - VIP 3,240,125000,500000,288000,750000,0,1538000,TRANSFER,PAID,Admin 1,"FNB-20260808-001320-503,FNB-20260808-032842-898",
39,TRX-20260808022409940-68C4E94D,2026-08-07,2026-08-08 00:35:50,2026-08-08 02:24:04,Ruangan 1 - VIP 1,120,125000,250000,781000,125000,0,1156000,TRANSFER,PAID,Admin 1,FNB-20260808-004428-789,
40,TRX-20260808012146612-A21C7B19,2026-08-07,2026-08-07 22:37:49,2026-08-08 01:21:37,Ruangan 9 - EXECUTIVE ,180,185000,450000,891000,1125000,0,2466000,TRANSFER,PAID,Admin 1,"FNB-20260807-224616-361,FNB-20260808-000059-97,FNB-20260808-012018-534",
41,TRX-20260808005415054-1ACB5C4B,2026-08-07,2026-08-07 21:09:20,2026-08-08 00:54:09,Ruangan 4 - VIP 4,240,135000,485000,965000,1500000,0,2950000,CASH,PAID,Admin 1,"FNB-20260807-211906-459,FNB-20260807-213535-50,FNB-20260807-214924-453,FNB-20260807-222203-761,FNB-20260807-222255-52,FNB-20260807-234520-784,FNB-20260808-000959-672,FNB-20260808-004839-395",
42,TRX-20260807235435193-EB5794E0,2026-08-07,2026-08-07 21:37:02,2026-08-07 23:54:32,Ruangan 8 - VIP 8,180,135000,0,180000,375000,405000,555000,TRANSFER,PAID,Admin 1,FNB-20260807-213805-974,
43,TRX-20260807221621377-D9E964A3,2026-08-07,2026-08-07 21:28:04,2026-08-07 22:16:09,Ruangan 7 - VIP 7,60,125000,0,60000,375000,125000,435000,TRANSFER,PAID,Kasir 1,FNB-20260807-214637-754,
44,TRX-20260807215938745-06082126,2026-08-07,2026-08-07 21:42:51,2026-08-07 21:59:38,F&B Umum - Di depan bar,0,0,0,350000,0,0,350000,CASH,PAID,Kasir 1,FNB-20260807-214255-690,
45,TRX-20260807210204445-39D65EA2,2026-08-07,2026-08-07 19:08:55,2026-08-07 21:01:55,Ruangan 7 - VIP 7,120,125000,1000000,740000,750000,0,2490000,TRANSFER,PAID,Kasir 1,"FNB-20260807-193341-622,FNB-20260807-204133-599,FNB-20260807-205524-982",
46,TRX-20260807102818939-2C926296,2026-08-06,2026-08-07 00:31:15,2026-08-07 03:31:15,Ruangan 7 - VIP 7,180,135000,300000,300000,0,0,600000,TRANSFER,PAID,Manager 1,FNB-20260807-062051-828,
47,TRX-20260807031103933-90B28599,2026-08-06,2026-08-07 00:26:33,2026-08-07 03:10:57,Ruangan 1 - VIP 1,180,135000,300000,373000,375000,0,1048000,TRANSFER,PAID,Kasir 1,"FNB-20260807-002759-423,FNB-20260807-004432-297,FNB-20260807-020049-554,FNB-20260807-030929-961",
48,TRX-20260806223846618-F417DD42,2026-08-06,2026-08-06 20:49:36,2026-08-06 22:38:41,Ruangan 1 - VIP 1,120,135000,270000,560000,500000,0,1330000,TRANSFER,PAID,Admin 1,"FNB-20260806-205436-231,FNB-20260806-212221-97,FNB-20260806-213015-834,FNB-20260806-213052-8,FNB-20260806-215653-380,FNB-20260806-222625-923",
49,TRX-MANUAL-20260806-0610-ROOM009,2026-08-05,2026-08-06 06:10:00,2026-08-06 08:10:00,Ruangan 9 - EXECUTIVE,120,185000,185000,1985000,750000,185000,2920000,TRANSFER,PAID,Alfin,FNB-MANUAL-20260806-0610-ROOM009,
50,TRX-20260807135359039-99CBEF85,2026-08-06,2026-08-06 04:40:00,2026-08-06 06:40:00,Ruangan 7 - VIP 7,120,125000,250000,240000,0,0,490000,TRANSFER,PAID,nindy,FNB-20260807-135359-949,
51,TRX-20260806054847694-814DF34C,2026-08-05,2026-08-05 21:26:48,2026-08-06 05:48:43,Ruangan 4 - VIP 4,360,135000,0,1439000,2625000,900000,3974000,TRANSFER,PAID,Manager 1,"FNB-20260805-214647-77,FNB-20260805-220534-782,FNB-20260805-225752-531,FNB-20260806-001403-701,FNB-20260806-001523-942,FNB-20260806-003520-479,FNB-20260806-005507-37,FNB-20260806-011046-843",
52,TRX-20260807150120435-6509C5D9,2026-08-06,2026-08-06 04:35:00,2026-08-06 04:35:00,F&B Umum - yeni,0,0,0,65000,0,0,65000,CASH,PAID,nindy,FNB-20260807-150120-76,
53,TRX-20260806023006584-90A1B804,2026-08-05,2026-08-06 00:36:39,2026-08-06 02:29:59,Ruangan 1 - VIP 1,120,135000,270000,85000,250000,0,605000,CASH,PAID,Admin 1,FNB-20260806-004008-307,
54,TRX-20260806013616884-4A5324B2,2026-08-05,2026-08-05 23:46:09,2026-08-06 01:36:12,Ruangan 2 - VIP 2,120,135000,270000,416000,500000,0,1186000,TRANSFER,PAID,Admin 1,FNB-20260806-000029-269,
55,TRX-20260805235318526-B159A7D4,2026-08-05,2026-08-05 21:02:33,2026-08-05 23:53:04,Ruangan 1 - VIP 1,180,135000,405000,525000,1500000,0,2430000,TRANSFER,PAID,Kasir 1,"FNB-20260805-213041-343,FNB-20260805-221408-565,FNB-20260805-221539-750,FNB-20260805-223937-762",
56,TRX-20260805234344479-8788326C,2026-08-05,2026-08-05 22:51:14,2026-08-05 23:43:44,F&B Umum - Lobby,0,0,0,80000,0,0,80000,CASH,PAID,Kasir 1,FNB-20260805-225114-852,
57,TRX-20260805231927544-1FFEC791,2026-08-05,2026-08-05 22:01:38,2026-08-05 23:19:26,Ruangan 5 - VIP 5,120,135000,0,223000,250000,270000,473000,CASH,PAID,Kasir 1,FNB-20260805-222054-855,
58,TRX-20260805224112734-9F4C7C7F,2026-08-05,2026-08-05 19:55:00,2026-08-05 22:41:09,Ruangan 3 - VIP 3,180,135000,405000,518000,375000,0,1298000,TRANSFER,PAID,Kasir 1,"FNB-20260805-201003-788,FNB-20260805-204759-582",
59,TRX-MANUAL-20260805-0400-ROOM005,2026-08-04,2026-08-05 04:00:00,2026-08-05 06:00:00,Ruangan 5 - VIP 5,120,135000,270000,165000,0,0,435000,TRANSFER,PAID,Alfin,FNB-MANUAL-20260805-0400-ROOM005,
60,TRX-20260805053508526-F91FCC8D,2026-08-04,2026-08-05 04:31:51,2026-08-05 05:35:08,F&B Umum - VIP 3 free room,0,0,0,508000,0,0,508000,CASH,PAID,Admin 1,FNB-20260805-043151-862,
61,TRX-20260805045716341-1A903648,2026-08-04,2026-08-05 00:58:47,2026-08-05 04:57:14,Ruangan 2 - VIP 2,240,135000,540000,700000,1000000,0,2240000,TRANSFER,PAID,Admin 1,"FNB-20260805-012008-57,FNB-20260805-022058-77,FNB-20260805-044052-482",
62,TRX-20260805044426461-A704CE06,2026-08-04,2026-08-05 02:41:41,2026-08-05 04:44:23,Ruangan 5 - VIP 5,180,135000,350000,145000,750000,0,1245000,CASH,PAID,Admin 1,FNB-20260805-030501-37,
63,TRX-20260805043438019-059DA851,2026-08-04,2026-08-05 02:18:09,2026-08-05 04:34:36,Ruangan 6 - VIP 6,150,135000,337500,513000,0,0,850500,CASH,PAID,Admin 1,"FNB-20260805-021940-811,FNB-20260805-023643-347,FNB-20260805-030410-463,FNB-20260805-030715-147",
